mid,name,rating,director
87192,Attack the Block (2011),3.43,Joe Cornish
87194,"Way,3.67,Emilio Estevez
87197,Let the Bullets Fly (2010),3.17,Wen Jiang
87205,"Tunnel,3.19,Carlo Ledesma
87207,Orwell Rolls in His Grave (2003),4.00,Robert Kane Pappas
87210,Wake (2009),2.38,Ellie Kanner
87216,Kings of the Sun (1963),1.00,J. Lee Thompson
87218,He Ran All the Way (1951),3.00,John Berry
87220,Violent Saturday (1955),3.50,Richard Fleischer
87222,Kung Fu Panda 2 (2011),3.57,Jennifer Yuh
87225,"Burglars,3.25,Henri Verneuil
87227,Gabriel Over the White House (1933),3.07,Gregory La Cava
87229,Lynch (2007),3.64,black AND white
87232,X-Men: First Class (2011),3.83,Matthew Vaughn
87234,Submarine (2010),3.76,Richard Ayoade
87238,"Gods Must Be Crazy III,2.29,Billy Chan
87256,Tonight and Every Night (1945),3.00,Victor Saville
87258,The Thief (1952),3.50,Russell Rouse
87260,Raffles (1930),3.83,Harry d'Abbadie d'Arrast
87262,"Dark Angel,3.00,Sidney Franklin
87264,Brewster's Millions (1945),3.27,Allan Dwan
0,"Patent Leather Kid,?,Alfred Santell
87268,"Nightmare in Las Cruces,3.00,Charlie Minn
87270,"Other Woman,3.26,Don Roos
87276,"Last Dispatch,3.00,Helmut Schleppi
87279,Brotherhood  (2010),3.12,Will Canon
87287,American Grindhouse (2010),3.38,Elijah Drenner
87290,Two Arabian Knights (1927),3.00,Lewis Milestone
87294,Den enskilde medborgaren (2006),4.00,
87296,Captive (Cautiva) (2004) ,4.00,Gaston Biraben
87298,Everything Must Go (2010),3.33,Daniela Rush
87300,Eyes of the Mothman (2011),2.33,
87302,Red White & Blue (2010),2.64,Simon Rumley
87304,Beginners (2010),3.73,Mike Mills (II)
87306,Super 8 (2011),3.53,J.J. Abrams
87308,Jane Eyre (2006),3.89,
87314,Lottery Ticket (2010),2.62,Erik White
87316,Calvin Marshall (2009) ,0.50,Gary Lundgren
87320,"Oath,3.50,Laura Poitras
87322,Falling (a.k.a. Fallen) (2006),3.00,
87325,Delbaran (2001),3.50,Abolfazl Jalili
87327,Camp de Thiaroye (1989),3.88,Ousmane Sembene
87330,"Target Shoots First,3.25,Christopher Wilcha
87332,"City Below,3.70,Christoph Hochhausler
87334,Chain Camera (2001),3.00,Kirby Dick
87336,Playing 'In the Company of Men' (En jouant 'Dans la compagnie des hommes') (2003),3.17,Arnaud Desplechin
87354,Then I Sentenced Them All to Death (Atunci i-am condamnat pe toti la moarte) (1972),4.00,
87356,Pale Flower (Kawaita hana) (1964),3.38,Masahiro Shinoda
87358,Santa Claus Has Blue Eyes (Le père Noël a les yeux bleus) (1969),4.50,
87360,It Felt Like a Kiss (2009),3.58,Adam Curtis
87364,Interkosmos (2006),3.00,Jim Finn
87366,After the Reconciliation (Après la réconciliation) (2000),3.50,Anne-Marie Mieville
87368,Matinée (1977),2.67,Jaime Humberto Hermosillo
87370,"Year of Living Vicariously,3.50,
87378,"Sixth of the World,4.00,Dziga Vertov
87383,Curly Top (1935),3.21,Irving Cummings
87385,Envy (Kiskanmak) (2009),3.00,Zeki Demirkubuz
87387,Private (2004),2.83,Saverio Costanzo
87390,"Very British Gangster,2.93,Donal MacIntyre
87392,"Working Class Goes to Heaven,3.12,Elio Petri
87403,48 Shades (2006),3.10,Daniel Lapaine
87405,Daydream Nation (2010),3.30,Michael Goldbach
87408,"Täältä tullaan,3.23,Tapio Suominen
87410,"Chosen One,2.17,George Sluizer
87413,Bernie (1996),3.72,Albert Dupontel
87415,Lucky Star (1929),4.17,Frank Borzage
87417,Araya (1959),3.00,Margot Benacerraf
87420,"Danube Exodus,4.00,Peter Forgacs
87425,Vääpeli Körmy - Taisteluni (1994),2.42,
87430,Green Lantern (2011),2.87,Greg Berlanti
87433,"Ghidorah,3.06,Ishiro Honda
87435,Sergeant Körmy and the South Pacific (Vääpeli Körmy ja etelän hetelmät) (1992),2.25,
87442,"Bicycle,3.00,Carlos Bosch
87444,Elektra Luxx (2010),2.36,Sebastian Gutierrez
87446,Mickey's Twice Upon a Christmas (2004),3.39,Theresa Cullen
87449,Stricken (Er komt een vrouw bij de dokter) (2009),3.50,Reinout Oerlemans
0,Net Worth (1995),?,Jerry Ciccoritti
87469,Cinema Verite (2011),3.16,Robert Pulcini
87471,"Yoo-Hoo,2.75,Aviva Kempner
87483,Mr. Popper's Penguins (2011),2.86,Mark Waters
87485,Bad Teacher (2011),2.96,Jake Kasdan
87497,Wives and Lovers (1963),3.00,
87499,Tyler Perry's Why Did I Get Married Too? (2010),2.77,Toyomichi Kurita
87505,"President's Lady,3.00,Henry Levin
87507,Suez (1938),2.30,Otto Brower
87511,Two Girls and a Sailor (1944),2.50,Richard Thorpe
87514,Papa's Delicate Condition (1963),1.75,George Marshall
87516,Sundown (1941),2.00,Henry Hathaway
87518,Storm Center (1956),2.17,Daniel Taradash
87520,Transformers: Dark of the Moon (2011),2.97,Michael Bay
87522,Larry Crowne (2011),3.07,Tom Hanks
87527,Score: A Hockey Musical (2010),2.56,Michael McGowan
87529,Your Highness (2011),2.77,David Gordon Green
87547,Hand Gun (1994),1.50,Whitney Ransick
87549,YellowBrickRoad (2010),2.64,Jesse Holland
87556,Jacqueline Susann's Once Is Not Enough (1975),2.50,Guy Green
87558,When Ladies Meet (1933),3.50,Harry Beaumont
87560,"Pride of St. Louis,2.60,
87562,"Prizefighter and the Lady,1.83,
87564,"Son of Monte Cristo,3.00,Rowland V. Lee
87566,If I Were King (1938),3.17,Frank Lloyd
87568,Judy Moody and the Not Bummer Summer (2011),2.12,John Schultz
87572,"Have Dreams,3.50,Brad Isaacs
87589,"Four-Faced Liar,3.17,Jacob Chase
87591,"Lamp in the Dark; The Untold History of the Bible,4.00,
87595,King of Jazz (1930),3.00,J. Murray Anderson
87598,"Dolly Sisters,3.00,Irving Cummings
87608,Seconds Apart (2011) ,2.56,Antonio Negret
87618,"Mattei Affair,3.50,Francesco Rosi
87633,"Scenic Route,3.50,
87636,"Run,3.50,Sergio Sollima
87639,Brushfires (2004),1.00,Wendy Jo Carlton
87642,Sergeant Körmy and the Underwater Vehicles (Vääpeli Körmy ja vetenalaiset vehkeet) (1991),2.08,
87644,Armless (2010),4.50,Habib Azar
87647,Life After People (2008),3.00,David de Vries
87649,"Spaghetti West,3.62,David Gregory
87660,Too Big to Fail (2011),3.76,Curtis Hanson
87662,"Bishop Murder Case,3.00,David Burton
87683,"Unexpected Love,3.83,Lee Rose
87685,Girl Play (2004),2.38,Lee Friedlander
87689,Pekko ja unissakävelijä (1997),1.50,Timo Koivusalo
87691,Pelicanman (Pelikaanimies) (2004),2.62,Liisa Helminen
87693,Train of Shadows (Tren de sombras) (1997),3.50,Jose Luis Guerin
87697,Shoppen (2006) ,3.33,Ralf Westhoff
87700,Apart from You (After Our Separation) (Kimi to wakarete) (1933),3.25,Mikio Naruse
87702,Every Night Dreams (Each Night I Dream) (Yogoto no yume) (1933),3.88,Mikio Naruse
87719,Living with Wolves (2005),3.67,Jim Dutcher
87721,Meat Love (1989),3.21,
87745,Lazybones (1925),2.88,Frank Borzage
87751,Film ist. 7-12 (2002),3.50,
87761,"Rita,2.95,Alan Clarke
87763,For Heaven's Sake (1926),2.88,Sam Taylor
87766,Three Brothers (Tre fratelli) (1981),3.00,Francesco Rosi
87769,Die Frau des Frisörs (2008),2.50,
87771,Human Failure (Menschliches Versagen) (2008),2.17,
87773,"Letter,3.67,Jean de Limur
87780,Monsturd (2003),3.50,Rick Popko
87785,Takers (2010),3.15,John Luessenhop
87790,Three (a.k.a. 3) (2010),3.07,Tom Tykwer
87792,Route Irish (2010),2.71,Ken Loach
87794,"Quo Vadis,1.80,
87796,"Man of My Life,2.50,Zabou Breitman
87798,"Squall,4.00,
87802,Vääpeli Körmy ja marsalkan sauva (1990),2.54,
87804,Vääpeli Körmy ja kahtesti laukeava (1997),2.50,
87806,Who Are the DeBolts? [And Where Did They Get 19 Kids?] (1977),3.17,
87808,Street Without End (Kagirinaki hodo) (1934),3.00,Mikio Naruse
87831,Marie-Jo and Her 2 Lovers (Marie-Jo et ses 2 amours) (2002),2.50,Robert Guediguian
87834,My Life as McDull (Mak dau goo si) (2001),3.75,Toe Yuen
87843,Broken Windows (2008),4.00,Tony Hickman
87858,"Cougars,2.83,
87860,Strapped (2010),3.25,Joseph Graham
87867,Zookeeper (2011),2.33,Frank Coraci
87869,Horrible Bosses (2011),3.37,Seth Gordon
87872,Hunter Prey (2009),3.21,Sandy Collora
87874,See This Movie (2004),2.50,David M. Rosenthal
87876,Cars 2 (2011),3.05,Brad Lewis
87878,King & Country (1964),3.50,Joseph Losey
87880,Guns at Batasi (1964),2.62,John Guillermin
87882,De Dana Dan (2009),2.00,Priyadarshan
87884,Savage Messiah (1972),3.33,Ken Russell
87890,"Carey Treatment,1.50,Blake Edwards
87909,Megan Is Missing (2011),2.75,Michael Goi
87911,I Am You (In Her Skin) (2009),3.03,Simone North
87913,Possessed (1931),2.58,Edgar Selwyn
87915,Mondo Trasho (1969),2.50,John Waters
87917,Swamp Water (1941),2.57,Jean Renoir
87919,"Mysterious Lady,2.92,Fred Niblo
87921,"Ward,2.66,John Carpenter
87923,Room for One More (1952),3.38,Norman Taurog
87928,Tapped (2009),3.30,Stephanie Soechtig
87930,Page One: Inside the New York Times (2011),3.61,Andrew Rossi
87948,Bright Victory (1951),2.75,Mark Robson
87952,On the Riviera (1951),2.33,Walter Lang
87954,In Old Arizona (1928),2.20,Irving Cummings
87960,Between the Folds (2008),3.83,Vanessa Gould
87962,Dreamkiller (2010),0.50,Catherine C. Pirotta
87964,Breaking Upwards (2010),3.15,Daryl Wein
87966,"Doorway to Hell,2.00,Archie Mayo
87971,Anton Chekhov's The Duel (2010),3.29,Dover Koshashvili
87973,"Betrayed,2.88,Amanda Gusack
87975,Burn Notice: The Fall of Sam Axe (2011),3.17,Jeffrey Donovan
87977,Murder in Coweta County (1983),3.25,
87979,Five Minutes to Live (1961),3.33,Bill Karn
87984,Red Like the Sky (Rosso come il cielo) (2007),3.75,Cristiano Bortone
87988,Like You Know It All (Jal aljido mothamyeonseo) (2009),3.36,Sang-soo Hong
87990,"If I Want to Whistle,3.05,Florin Serban
87992,Mammuth (2010),3.58,Gustave de Kervern
87994,Gilles' Wife (La femme de Gilles) (2004),3.25,Frederic Fonteyne
87996,Waiting Room (Bekleme odasi) (2004),3.00,
87999,I Am Curious (Blue) (Jag är nyfiken - en film i blått) (1968),2.50,
88001,Suspicious River (2000),1.00,Lynne Stopkewich
88003,"Perfect Day,2.62,Ferzan Ozpetek
88005,Laws of Gravity (1992),4.17,Nick Gomez
88015,Elvis (1979),3.32,John Carpenter
88017,Time Stood Still (Il tempo si è fermato) (1959),4.00,Ermanno Olmi
88020,200 M.P.H. (2011),2.20,Cole S. McKay
88022,Hot Coffee (2011),3.73,Susan Saladoff
88024,To Sleep with Anger (1990),3.14,Charles Burnett
88028,Green Fish (Chorok mulkogi) (1997),2.50,Chang-dong Lee
88031,Tiresia (2003),2.00,Bertrand Bonello
88038,"Acadia Acadia?!? (L'acadie,4.00,Michel Brault
88040,Killing Auntie (Zabicie ciotki) (1985),4.00,Grzegorz Krolikiewicz
88042,Cornered (1945),3.60,
88044,Love (Szerelem) (1971),3.62,Karoly Makk
88047,New Wave (Nouvelle vague) (1990),2.88,Jean-Luc Godard
88049,Virgin Stripped Bare by Her Bachelors (Oh! Soo-jung) (2000),3.62,Sang-soo Hong
88051,Four Adventures of Reinette and Mirabelle (4 aventures de Reinette et Mirabelle) (1987),3.65,Eric Rohmer
88053,Hangtime - Kein leichtes Spiel (2009),3.50,
88055,"Missing Star,2.50,Gianni Amelio
88059,Bikini Summer (1991),1.25,Robert Veze
88061,Transistor Love Story (Monrak Transistor) (2001),3.00,Pen-Ek Ratanaruang
88063,Bugmaster (Mushishi) (2006),3.50,Katsuhiro Otomo
88065,Double Dhamaal (2011),2.50,Indra Kumar
88067,"Happiness Is a Warm Blanket,3.40,Andy Beall
88069,Delhi Belly (2011),3.33,Abhinay Deo
88071,Ballerina (La mort du cygne) (1937),3.75,Jean Benoit-Levy
88073,Heir to an Execution (2004),3.50,Ivy Meeropol
88075,And Then Came Lola (2009),2.29,Megan Sidler
88078,Snowblind (2010),2.50,
88087,Welcome Farewell-Gutmann (Bienvenido a Farewell-Gutmann) (2008),3.00,Xavi Puebla
88089,Clint Eastwood: Out of the Shadows (2000),3.33,Bruce Ricker
88092,Education for Death (1943),3.50,
88094,Upside Down: The Creation Records Story (2010),3.86,Danny O'Connor
88099,Streets of Laredo (1995),3.40,Joseph Sargent
88106,Mahler (1974),3.50,
88108,Monte Carlo (2011),3.14,Tom Bezucha
88110,Monogamy (2010) ,2.90,Dana Adam Shapiro
88114,Read It and Weep (2006),2.72,Paul Hoen
88116,Truth in 24 (2008),3.75,
88118,"Perfect Host,3.44,Nick Tomnay
88125,Harry Potter and the Deathly Hallows: Part 2 (2011),3.96,David Yates
88127,Conan O'Brien Can't Stop (2011),3.32,Rodman Flender
88129,Drive (2011),3.84,Nicolas Winding Refn
88131,Love Crime (Crime d'amour) (2010),3.50,Alain Corneau
88133,Brink of Life (Nära livet) (1958),3.00,Ingar Bergman
88135,"Kind of Loving,3.50,John Schlesinger
88138,Snow Flower and the Secret Fan (2011),3.54,Wayne Wang
88140,Captain America: The First Avenger (2011),3.56,Joe Johnston
88158,Far from Home (1989),3.50,Rachel Tsutsumi
88160,Girls in Prison (1994),2.17,John McNaughton
88163,"Crazy,3.79,Glenn Ficarra
88166,"Eversmile,2.83,Carlos Sorin
88168,"Last Run,3.00,Richard Fleischer
88171,Trio (1950),3.50,Ken Annakin
88173,Flight Command (1940),3.33,
88175,Cheers for Miss Bishop (1941),2.75,Tay Garnett
88177,"Buccaneer,3.00,Cecil B. DeMille
88179,One Day (2011),3.36,Lone Scherfig
88181,35 and Ticking (2011),2.75,Russ Parr
88192,"Poker House,3.69,Lori Petty
88194,Forget Me Not (2009),2.79,Tyler Oliver
88203,Car Bonus (Autobonus) (2001),4.33,
88205,Feast of All Saints (2001),2.00,Peter Medak
88210,Bombardier (1943),2.75,Richard Wallace
88213,Joan of Paris (1942),3.50,Robert Stevenson
88224,"Charming Mass Suicide,3.25,
88228,Vice Squad (1953),1.75,Gary Sherman
88235,"Guard,3.70,John Michael McDonagh
88237,Griff the Invisible (2011),3.35,Leon Ford
88248,Quarantine 2: Terminal (2011),2.66,John Pogue
88250,Earth Days (2009),3.00,Robert Stone
88252,Children (Börn) (2006),2.83,Ragnar Bragason
88267,Winnie the Pooh (2011),3.49,Don Hall
88270,Peep World (2010),2.70,Barry W. Blaustein
88272,"Woman,2.82,Lucky McKee
88274,"Unholy Rollers,3.00,Vernon Zimmerman
88276,Dry Summer (Susuz yaz) (Reflections) (1964),3.62,Metin Erksan
88278,Phantom (1922),3.10,F.W. Murnau
88280,Frontier of the Dawn (La frontière de l'aube) (2008),2.90,Philippe Garrel
88282,Sombre (1998),3.57,Philippe Grandrieux
88284,"Think Fast,3.50,Norman Foster
88299,No Impact Man: The Documentary (2009),3.21,Justin Schein
88301,Beverly Hills Chihuahua 2 (2011),1.30,Alex Zamm
88305,"Wedding in Blood (Noces rouges,3.38,Claude Chabrol
88307,"Goalie's Anxiety at the Penalty Kick,3.75,Wim Wenders
88310,"Year Ago in Winter,3.50,Caroline Link
88313,"Electra,3.83,Miklos Jancso
88315,Indian Summer (a.k.a. The Professor) (La prima notte di quiete) (1972),1.75,Valerio Zurlini
88317,"Married Couple,3.25,
88321,Betty (1992),3.25,Claude Chabrol
88327,"New One-Armed Swordsman,3.25,Cheh Chang
88329,Madeleine (1950),3.50,David Lean
88331,Exodus (Cheut ai kup gei) (2007),3.50,Ho-Cheung Pang
88335,Wanted! (Nachbarinnen) (2004),1.50,Franziska Meletzky
88339,"Four Times,3.56,Michelangelo Frammartino
88341,Park Row (1952),3.20,Samuel Fuller
88343,"Sleeping Beauty,3.21,Catherine Breillat
88345,Mike's New Car (2002),3.53,John Lasseter
88347,Without Warning (1994),3.60,Robert Iscove
88349,Almighty Thor (2011),3.24,Christopher Olen Ray
88352,Escape from Dartmoor (1929),4.00,Anthony Asquith
88356,"Smurfs,2.42,Raja Gosnell
88368,Reparando (2010),3.50,Scott Owen Moore
88371,Concursante (2007),3.50,Rodrigo Cortes
88374,"Arrangement,2.70,Elia Kazan
88376,Comanche Moon (2008),3.29,
88378,Dead Man's Walk (1996),2.75,Yves Simoneau
88380,Dylan Dog: Dead of Night (2010),2.55,Kevin Munroe
88382,Angel of Mine (a.k.a. The Mark of an Angel) (L'empreinte de l'ange) (2008),3.10,Safy Nebbou
88398,"Undefeated,3.33,Stephen K. Bannon
88400,Chromophobia (2005),3.50,Martha Fiennes
88405,Friends with Benefits (2011),3.35,Will Gluck
88411,"Dust of Time,3.33,Theodoros Angelopoulos
88414,"Winner,2.00,Alex Cox
88417,Exposed (1983),3.00,Beth B.
88419,Forbidden (1932),3.83,Frank Capra
88423,3 Backyards (2010),1.17,Eric Mendelsohn
88425,Small Town Murder Songs (2010),2.83,Ed Gass-Donnelly
88427,Count Three and Pray (1955),3.00,George Sherman
88429,"Rally 'Round the Flag,3.00,Leo McCarey
88448,Paper Birds (Pájaros de papel) (2010),3.50,Emilio Aragon
88452,Last Stop 174 (Última Parada 174) (2008) ,3.17,Bruno Barreto
88454,Waking Madison (2010) ,3.00,Katherine Brooks
88456,"Possession of David O'Reilly,2.88,Andrew Cull
88466,Broken Sky (El cielo dividido) (2006),3.75,Julian Hernandez
88468,Alpha and Omega (2010),2.54,Anthony Bell
0,"Caretakers,?,
88473,Tender Is the Night (1962),3.50,Henry King
88480,Bikini Summer II (1992),1.50,Jeff Conaway
88483,"Boy in Blue,2.90,Charles Jarrott
88485,Deadfall (1993),2.17,Christopher Coppola
88488,"Summer Wishes,5.00,Gilbert Cates
88491,Lady Be Good (1941),3.50,Norman Z. McLeod
88493,Eternally Yours (1939),3.00,Tay Garnett
88495,Legend of the Fist: The Return of Chen Zhen (Jing wu feng yun: Chen Zhen) (2010),3.27,Donnie Yen
88511,Big City Blues (1932),1.00,
88513,Lawyer Man (1932),3.00,William Dieterle
88515,Blitz (2011),3.13,Rob Hardy
88518,Pennies from Heaven (1936),3.40,Norman McLeod
88520,"Living and the Dead,3.40,Simon Rumley
88543,She Cried No (Freshman Fall) (1996),2.00,Bethany Rooney
88548,Industrial Symphony No. 1: The Dream of the Brokenhearted (1990),2.75,David Lynch
88562,Our Beloved Month of August (Aquele Querido Mês de Agosto) (2008),3.07,
88564,"Autobiography of Nicolae Ceausescu,2.89,Andrei Ujic&#259;
88566,Mysteries of Lisbon (Mistérios de Lisboa) (2010),3.05,Raoul Ruiz
88568,Oki's Movie (Ok-hui-ui yeonghwa) (2010),3.42,Sang-soo Hong
88570,Welfare (1975),4.42,Frederick Wiseman
88572,Fred: The Movie (2010),1.81,Clay Weiner
88574,Four Bags Full (1956),3.50,Claude Autant-Lara
88576,Emitai (1971),4.00,Ousmane Sembene
88578,"Me Too (Yo,3.50,Antonio Naharro
88580,"Assassination (Ansatsu) (Assassination,4.00,Masahiro Shinoda
88589,Messiah of Evil (1973),2.94,Willard Huyck
88591,Souls for Sale (1923),3.67,Robert Hughes
88593,"Yellow Sea,3.63,Hong-jin Na
88595,"Temptress,2.67,Fred Niblo
88597,Our Life (La nostra vita) (2010),2.75,Daniele Luchetti
88599,Come Undone (Cosa voglio di più) (2010),3.25,Daniel Nocke
88601,"Illusion Travels by Streetcar (Ilusión viaja en tranvía,2.75,Luis Bunuel
88603,Change of Address (Changement d'adresse) (2006),2.50,Emmanuel Mouret
88605,"Help Me,2.50,Kang-sheng Lee
88607,"Eye Above the Well,4.00,
88633,Adopted (2009),2.00,Pauly Shore
88638,"Joyless Street,3.00,Georg Wilhelm Pabst
88640,Rapt (2009),3.50,Lucas Belvaux
88642,Bear's Kiss (2002),1.00,Sergei Bodrov Jr.
88646,"Cairo Station (a.k.a. Iron Gate,3.60,Youssef Chahine
88649,Sweet Rush (Tatarak) (2009),2.50,Andrzej Wajda
88652,"Blind Sunflowers,2.90,Jose Luis Cuerda
88654,"Queen of Spades,2.80,Thorold Dickinson
88670,Change of Plans (Le code a changé) (2009),2.50,Daniele Thompson
88672,Our Idiot Brother (2011),3.30,Jesse Peretz
88674,Edison Kinetoscopic Record of a Sneeze (1894),2.71,
88676,Divine Horsemen: The Living Gods of Haiti (1985),2.00,Maya Deren
88678,Almanya - Welcome to Germany (Almanya - Willkommen in Deutschland) (2011),3.77,Yasemin Samdereli
88680,Sweet Mud (Adama Meshuga'at) (2006),3.70,Dror Shaul
88682,"Letter to Elia,3.75,Martin Scorsese
88688,Drive-In Horrorshow (2009),3.00,
88690,Twixt (2011),2.35,Francis Ford Coppola
88692,Princess Ka'iulani (2009),3.25,Marc Forby
88694,Anima Mundi (1992),3.31,Godfrey Reggio
88697,SUBWAYStories: Tales from the Underground (1997),2.93,Abel Ferrara
88699,Death Race 2 (2010),2.81,Roel Reine
88701,"Debt,3.82,Assaf Bernstein
88704,Air Guitar Nation (2006),3.19,Alexandra Lipsitz
88706,Cyberbully (2011),2.97,Charles Biname
88724,Beats Rhymes & Life: The Travels of a Tribe Called Quest (2011),3.77,
88726,"Petits ruisseaux,2.83,Pascal Rabate
88734,West Is West (2010),3.62,Andy DeEmmony
88740,Above Suspicion (1943),3.00,Richard Thorpe
88742,Desperate Search (1952),0.50,
88744,Rise of the Planet of the Apes (2011),3.65,Rupert Wyatt
88746,Terri (2011),3.36,Azazel Jacobs
88748,"Magnificent Yankee,3.00,John Sturges
88750,Happy New Year (1987),2.25,John G. Avildsen
88752,Hide-Out (1934),3.00,W.S. Van Dyke
88754,Shanks (1974),2.50,William Castle
88756,Christmas Carol: The Movie (2001),2.00,Jimmy T. Murakami
88759,Coffin Rock (2009),3.12,Rupert Glasson
88761,Strapped (1993),2.25,Forest Whitaker
88764,Ponterosa (2001),1.33,Mika Kemmo
88766,Tevye (1939),4.00,Maurice Schwartz
88785,"Change-Up,3.06,David Dobkin
88788,Sins of My Father (2009),3.50,
88796,Cut-Throats Nine (Condenados a vivir) (1972),2.25,Joaquin Luis Romero Marchent
88801,"Yearling,1.00,Rod Hardy
88810,"Help,3.93,Tate Taylor
88812,30 Minutes or Less (2011),3.12,Ruben Fleischer
88814,Fjols til fjells (1957),3.00,
88816,My Son John (1952),1.50,Leo McCarey
88821,"Merry Widow,3.00,Curtis Bernhardt
88823,High Time (Big Daddy) (1960),2.00,Blake Edwards
0,There Goes My Heart (1938),?,Norman Z. McLeod
88835,Glee: The 3D Concert Movie (2011),2.56,Kevin Tancharoen
88837,"Trotsky,3.67,Jacob Tierney
88839,Anthony Zimmer (2005),3.47,Jerome Salle
88852,"Richest Girl in the World,3.00,William A. Seiter
88857,Just Imagine (1930),1.25,David Butler (I)
88877,"Invisible Sign,3.14,Marilyn Agrelo
88879,Gantz (2011),3.31,Shinsuke Sato
88886,Blues Harp (1998),2.33,Takashi Miike
88889,From Beijing with Love (1994),3.38,Lik-Chi Lee
88894,"Lady is Willing,2.50,Mitchell Leisen
88899,Vision (Vision - Aus dem Leben der Hildegard von Bingen) (2009),3.38,Margarethe von Trotta
88901,"Bulli: Cooking in Progress,3.35,Gereon Wetzel
88911,My Afternoons with Margueritte (La tête en friche) (2010),3.85,Jean Becker
88925,Soloalbum (2003),3.07,Gregor Schnitzler
88932,Final Destination 5 (2011),2.70,Steven Quale
88934,"Lovely,3.71,Nicholas Fackler
88950,"Conspirator,3.49,Robert Redford
88954,"Very Harold & Kumar 3D Christmas,2.98,Todd Strauss-Schulson
88957,"Young One,3.19,Luis Bunuel
88959,Michael the Brave (Mihai Viteazul) (1971),3.75,
88961,Missile to the Moon (1958),0.50,Richard E. Cunha
88971,Mr. Moto Takes a Chance (1938),3.10,Norman Foster
88973,Mysterious Mr. Moto (1938),3.50,Norman Foster
88975,Where Are the Dreams of Youth? (Seishun no yume imaizuko) (1932),4.00,Yasujiro Ozu
88977,Loose Cannons (Mine vaganti) (2010),3.57,Ferzan zpetek
88979,"Little Girl Who Conquered Time,3.12,
88989,Kairat (1992),4.00,Darezhan Omirbayev
88991,Queen to Play (Joueuse) (2009),3.38,Caroline Bottaro
88993,Laila (1929),3.83,George Schneevoigt
88998,Suzanne's Diary for Nicholas (2005),2.75,Richard Friedenberg
89000,Carancho (2010),3.39,Pablo Trapero
89002,Spy Kids: All the Time in the World in 4D (2011),1.71,Robert Rodriguez
89007,Recollections of the Yellow House (Recordações da Casa Amarela) (1989),3.75,Joao Cesar Monteiro
89010,Super 8 Stories (2001),2.50,Emir Kusturica
89014,Passing Fancy (Dekigokoro) (1933),3.50,Yasujiro Ozu
89016,What Did the Lady Forget? (Shukujo wa nani o wasureta ka) (1937) ,3.50,Yasujiro Ozu
89018,Miranda (1948),3.67,Ken Annakin
89021,Elvira Madigan (1967),3.70,Bo Widerberg
89023,Forest (Rengeteg) (2003),4.00,Benedek Fliegauf
89025,Evil - In the Time of Heroes (To kako - Stin epohi ton iroon) (2009),3.12,Yorgos Noussias
89028,Don't Be Afraid of the Dark (2010),2.91,Troy Nixey
89030,Fright Night (2011),3.16,Craig Gillespie
89039,Another Earth (2011),3.53,Mike Cahill
89041,Pastoral Hide and Seek (Den-en ni shisu) (1974),0.50,Shuji Terayama
89043,"Classic,3.25,
89045,Rocky VI (1986) ,2.98,
89047,Hesher (2010),3.52,Spencer Susser
89052,"Cool School,3.00,Morgan Neville
89054,Bolivia (2001),2.88,Israel Adrian Caetano
89056,Company: Original Cast Album (1970),4.12,D.A. Pennebaker
89060,Cold Prey (Fritt Vilt) (2006),3.23,Roar Uthaug
89069,American Boy: A Profile of: Steven Prince (1978),3.50,Martin Scorsese
89072,Stake Land (2010),3.38,Jim Mickle
89074,"Greatest Movie Ever Sold,3.29,Morgan Spurlock
89083,"Great White Silence,4.50,
89085,"Debt,3.54,John Madden
89087,Colombiana (2011),3.16,Olivier Megaton
89090,Bill Cunningham New York (2011),3.80,Richard Press
89098,"Hireling,1.75,Alan Bridges
0,Street Scenes (1970) ,?,
89102,Freakonomics (2010),3.29,Seth Gordon
89104,Puzzlehead (2005),3.07,James Bai
89110,"Possession of Joel Delaney,2.75,Waris Hussein
89112,"Kid from Brooklyn,3.20,Norman Z. McLeod
89114,"Last Frontier,2.67,Anthony Mann
89116,Tight Spot (1955),2.88,Phil Karlson
89118,"Skin I Live In,3.72,Pedro Almodovar
89126,Messengers 2: The Scarecrow (2009),1.25,Martin Barnewitz
89133,Boys (Drenge) (1977),5.00,Nils Malmros
0,"Birds,?,Pietro Germi
89137,Backlight (2010),2.20,Fernando Fragata
89139,"Lodger,2.25,David Ondaatje
89145,William Vincent (Shadows and Lies) (2010),2.50,Jay Anania
89147,Legends of the Canyon (2009),3.50,
89162,Phil Ochs: There But for Fortune (2010),3.38,Kenneth Bowser
89164,Good Neighbours (a.k.a. Good Neighbors) (2010),3.00,Jacob Tierney
89170,"Winning Season,3.68,James C. Strouse
89190,Conan the Barbarian (2011),2.72,Marcus Nispel
89192,Dead Awake (2010),2.00,Omar Naim
89194,Prom (2011),2.68,Joe Nussbaum
89203,Magic Trip (2011),3.08,Alex Gibney
89206,Stay Cool (2009),3.00,Ted Smith
89208,Walled In (2009),2.45,Gilles Paquet-Brenner
89211,Tuulikaappimaa (2003),1.50,
89213,Fierce Light: When Spirit Meets Action (2008),3.50,Velcrow Ripper
0,Strongman (2009),?,Zachary Levy
89217,Waiting for Forever (2010),3.20,James Keach
